NAME,TYPE,RELIGIOUS,FREEDOM FROM TRANS IDEOLOGY,STATE,NOTES,WEBSITE
Wayne State University,Public,No,Poor,MICHIGAN,"""Gender inclusive"" housing; allows gender self-ID via pronouns; provides biased gender resources to healthcare students.",https://wayne.edu/
Western Michigan University,Public,No,Poor,MICHIGAN,"""Gender inclusive"" housing; UHS provides sex trait modification incl. voice training; links to outside / local resources.",https://wmich.edu/
Carleton College,Private,No,Poor,MINNESOTA,"Has a ""Gender and Sexuality Center"" that specifically offers a ""trans boutique"" providing ""gender-affirming products"" on top of a huge number of groups; services; events; and more.",https://www.carleton.edu/
Macalester College,Private,No,Poor,MINNESOTA,"Has a ""Trans @ MAC"" page with a long list of school-specific resources and services for trans-identified students; incl. info for ""Trans Athletes"" and a page specific to ""gender-affirming care. """,https://www.macalester.edu/
"University of Minnesota, Twin Cities",Public,No,Poor,MINNESOTA,Has a Gender and Sexuality Center for Queer and Trans Life page that refers to a variety of trans-specific programs.,https://twin-cities.umn.edu/
Mississippi State University,Public,No,Moderate,MISSISSIPPI,"""LGBTQIA+"" page on behalf of the gender studies program has safe zone training; LGBTQ+ Union; and promotes Delta Omega Lambda; a ""gender-inclusive sorority at Mississippi State University that works to develop a better understanding of sexuality and gender identity""",https://www.msstate.edu/
University of Mississippi,Public,No,Poor,MISSISSIPPI,"Provides a ""LGBTQIA+ Programming & Initiatives"" page which includes ""All Gender Restroom List"" a page on ""Pronouns – what are they; and why do they matter?""; various trainings including ""Understanding Sex; Gender; and Sexuality to Foster Inclusive and Equitable Spaces""",https://olemiss.edu/
Missouri State University,Public,No,Moderate,MISSOURI,The Missouri State University student health insurance policy does not cover hormones or transition-related care. Offers Safe Zone training through the Multicultural Resource Center (MRC). Gender-inclusive housing is available by request through the housing office. The MRC runs LGBTQ Support Services; hosts the Trans @ MU page; and organizes events like LGBTQ History Month. Non-discrimination policies include gender identity; and gender-neutral bathrooms are located across campus. Students can update their chosen name through the self-service portal.,https://www.missouristate.edu/
University of Missouri,Public,No,Poor,MISSOURI,Offers weekly LGBTQ support group and includes gender identity and transition topics. Provides gender-affirming hormone therapy; ongoing care; and referrals for surgery and counseling. Does not provide trans-specific resources but refers to a local organization for support. Offers a Transgender Studies course in Women & Gender Studies and previously offered Safe Space training in 2017; though current availability is unclear. Allows gender-neutral housing requests on the Housing Preference form. The LGBTQ Resource Center educates; supports; and advocates for trans and non-binary students; with 9 LGBTQ student organizations (including 2 focused on trans students); and hosts Trans Awareness and Empowerment Week; Coming Out Week; and Pride events. Non-discrimination policies include gender identity; gender-neutral bathrooms are available; and students can update their preferred name through the student portal.,https://missouri.edu/
University of Missouri�Kansas City,Public,No,Poor,MISSOURI,"Offers HRT through student health insurance, provides counseling support for transgender students, includes staff training on transgender issues, and hosts a clothing swap through the Trans+ club. Offers gender-inclusive housing options and organizes LGBTQIA and QTPOC programs, with four LGBTQ clubs and year-round events like Trans Week of Celebration. Non-discrimination policies include gender identity, and the campus is adding gender-inclusive restrooms in new or renovated buildings.",https://www.umkc.edu/
University of Missouri�St. Louis,Public,No,Poor,MISSOURI,"Offers Gender Non-Conforming group therapy and access to a Transition Closet for gender-affirming attire. Includes Safe Zone training and provides gender-inclusive housing options through Oak Hall. The Office of Student Involvement, Gender Studies department, and Pride Alliance club organize LGBTQ events, including Trans Care and Safety. Gender-inclusive restrooms are located in the Student Center and Rec Center, and students can update their Preferred Name through the self-service portal.",https://www.umsl.edu/
Washington University in St. Louis,Private,No,Poor,MISSOURI,"Offers group therapy on gender identity; called ""Lavender Circle; "" and provides recommendation and referral letters. For students over 18; the Student Health Center and CCPS can issue recommendation letters and insurance referrals as needed. They currently ensure continuity of gender-affirming hormone therapy (GAHT) for those already on these medications and collaborate with the Washington University Transgender Center for those looking to begin treatment. Provides gender-inclusive housing through the housing application; and supports seven student organizations; two of which focus specifically on transgender issues. The SPECTRUM Center hosts multiple annual events; including LGBTQ History Month and Lavender Graduation; while the Women; Gender & Sexuality Studies department offers a Trans Studies course. Maintains gender-inclusive bathrooms across campus and in dorms; implements a preferred name policy; and utilizes a Bias Report Support System.",https://wustl.edu/
Montana State University,Public,No,Poor,MONTANA,"Initiates and maintains hormone therapies through health services and provides referrals to Bridgercare; a local non-profit with sliding scale fees. All counselors are ""Safe Zone"" trained; and resources are listed on the LGBTQ page of the Women's Center and the QSA page. The university offers Safe Zone training; gender-inclusive housing in one residence hall; and facilitates QSA; QSFA; and a mentorship program through the Diversity Office. Events like Pride; Lavender Graduation; and weekly QSA meetings promote inclusivity; while all-gender bathrooms and a chosen name request form further support transgender students.",https://www.montana.edu/
Creighton University,Private,Yes,Excellent,NEBRASKA,Provides resources related to gender in the context of study abroad programs; outsources other LGBT content; states that beliefs align with the Catholic Church.,https://www.creighton.edu/
University of Nebraska - Lincoln,Public,No,Poor,NEBRASKA,"""Gender inclusive"" housing; allows gender self-ID; student health plans cover sex trait modification; provides plentiful resources.",https://www.unl.edu/
University of Nebraska - Omaha,Public,No,Poor,NEBRASKA,"""Gender inclusive"" housing; allows gender self-ID; student health plans cover sex trait modification; provides plentiful resources.",https://www.unomaha.edu/
"University of Nevada, Las Vegas",Public,No,Poor,NEVADA,Provides comprehensive LGBTQIA resources including legal clinics for name and gender-marker changes; UHS offers hormone therapy services.,https://www.unlv.edu/
"University of Nevada, Reno",Public,No,Poor,NEVADA,"Offers Gender, Race, and Identity program with minor in LGBTQ Studies; School of Medicine runs voice and communication clinic for individuals transitioning, hosts sessions on GAC.",https://www.unr.edu/
Dartmouth College,Private,No,Poor,NEW HAMPSHIRE,"Provides comprehensive gender-affirming care; including hormone therapy; referrals; extensive support through a ""Gender Services Team; "" and pre- and post-operative care. Offers free binders and tucking materials; making resources highly accessible according to student feedback. Features Triangle House; which accommodates 25 students based on an application process and specific requirements. Supports various student organizations through the Office of Pluralism & Leadership; hosting events like the Queer History Celebration; Trans Week of Visibility; Pride; and Lavender Graduation. Implements gender-inclusive bathrooms across campus and follows NCAA rules for athletics based on gender identity. Includes a chosen name policy with a straightforward process for students.",https://home.dartmouth.edu/
University of New Hampshire,Public,No,Poor,NEW HAMPSHIRE,Provides hormone therapy through Health & Wellness and referrals for surgeries. Offers identity counseling and implements Safe Zone training with stickers for identification; along with Social Justice Educator trainings. Features gender-inclusive housing and a Lavender Learning Community; with applications processed through the housing application. Supports student organizations like UNH Trans; UNH Alliance; and Stonewall Grads; and hosts events such as Pride Month activities and a Pancake Breakfast in April. Includes a Preferred Name process/form for students.,https://www.unh.edu/
Montclair State University,Public,No,Moderate,NEW JERSEY,"""Gender inclusive"" housing.",https://www.montclair.edu/
New Jersey Institute of Technology,Public,No,Poor,NEW JERSEY,"""Gender inclusive"" housing; Safe Zone training; resources document for ""2SLGBTQIA+"" communities.",https://www.njit.edu/
Princeton University,Private,No,Poor,NEW JERSEY,"""Gender inclusive"" housing; comprehensive sex trait modification is offered by UHS and covered by student health plans; possibly one of the strongest colleges I've seen.",https://www.princeton.edu/
Rowan University,Public,No,Poor,NEW JERSEY,"""Gender inclusive"" housing; offers a comprehensive page on gender identity incl. the ""dos"" and ""don'ts"" of pronouns.",https://www.rowan.edu/
Rutgers University,Public,No,Poor,NEW JERSEY,"Offers ""Rainbow Perspectives"" LLC; website is difficult to navigate but the general vibes are strong.",https://www.rutgers.edu/
Stevens Institute of Technology,Private,No,Poor,NEW JERSEY,"""Gender inclusive"" housing; Safe Zone training; provides institutional gudiance on ""Rights of Transgender Members of the Stevens Community""; honors self-ID for bathrooms.",https://www.stevens.edu/
New Mexico State University,Public,No,Poor,NEW MEXICO,"Issued a ""Trans & Nonbinary Support Statement"" incl. links to the school's preferred name policy; ""all-gender"" restroom map; and LGBT-related programming efforts.",https://www.nmsu.edu/
University of New Mexico,Public,No,Poor,NEW MEXICO,"Has an ""LGBTQ Resource Center"" with an entire section dedicated to ""[Trans] Inclusion and Equity at UNM. """,https://www.unm.edu/
Bard College,Private,No,Poor,NEW YORK,"Has a ""Trans Resource Guide"" with nearly 30 pages on university policies; student organizations; legal name and gender marker change policies; and local resources for medicalization.",https://www.bard.edu/
Barnard College,Private,No,Poor,NEW YORK,"Celebrates ""Transgender Awareness Week""; despite its status a women-only college; states that it will ""consider for admission those. . . who consistently live and identify as women; regardless of the gender assigned to them at birth. """,https://barnard.edu/
Clarkson University,Private,No,Poor,NEW YORK,"Has an ""LGBTQ+ & Sexual Orientation Discrimination & Rights"" page that refers students to glossaries of ""LGBTQ terminology""; plentiful media related to gender ID; and school-wide policies.",https://www.clarkson.edu/
Colgate University,Private,No,Poor,NEW YORK,"Has a ""Trans @ Colgate"" page that alerts students to trans-related programs; events; education; and on- campus resources; boasts how their health forms are ""gender-neutral"" and how student health insurance covers trans-related hormones & surgery.",https://www.colgate.edu/
Columbia University,Private,No,Poor,NEW YORK,"Has a ""Trans Resources"" page that describes myriad gender-related resources both on- and off-campus; runs a ""Transgender and Gender Expansive team"" that offers gender- related health services; refers students to the ""Columbia Health Insurance Office"" for help getting gender-related medical coverage; honors TDOR.",https://www.columbia.edu/
Cornell University,Private,No,Poor,NEW YORK,"Has a ""Transgender Inclusion at Cornell"" page that refers students to its ""Transgender Guide to Transitioning & Gender Affirmation in the Workplace"" and various other resources; covers gender-related medical interventions under its health insurance & refers students to Planned Parenthood.",cornell.edu
Fordham University,Private,Yes,Poor,NEW YORK,"Has an ""LGBTQ Resources"" page that gives students a preliminary run- down of campus resources related to gender and sexuality; despite its Catholic affiliation; appears to have more progressive views toward trangender identity.",fordham.edu
Hamilton College,Private,No,Poor,NEW YORK,"Has an ""LGBTQIA+ Resource Center"" that facilitates weekly support groups for trans and ""LGBQIA+"" students; provides referrals to myriad off-campus resources incl. Planned Parenthood.",hamilton.edu
New York University,Private,No,Poor,NEW YORK,"Has an ""LGBTQ+ Center"" page that refers students to many services; orgs; and programs incl. ""First Year Queers and Allies""; provides comprehensive gender-related trainings; professional development opportunities; and more; offers a dedicated ""Trans@NYU"" page that outlines university policies.",nyu.edu
Rensselaer Polytechnic Institute,Private,No,Poor,NEW YORK,"Has an ""LGBTQ+ Students at Rensselaer"" page that provides various resources related to gender; incl. those related to ""gender-inclusive"" housing & restroom policies; runs a dedicated ""LGBTQ+ Task Force. """,rpi.edu
Skidmore College,Private,No,Poor,NEW YORK,"Has several gender-related orgs and initiatives; which alert students to ""all- gender"" bathrooms and provide advice on how to come out (or not) to family and friends; offers a gender-related Community Resource Guide.",skidmore.edu
Stony Brook University,Public,No,Poor,NEW YORK,"Has a ""Transgender Health"" page that lists options for students seeking transgender medicalization; provides several other gender-related resources and policies.",stonybrook.edu
Syracuse University,Private,No,Poor,NEW YORK,"Has a ""Trans at SU"" page that states its commitment ""to supporting trans people on this campus and far beyond; allows students to try on ""sample"" chest binders at the ""LGBTQ+ Resource Center. """,syracuse.edu
University at Buffalo,Public,No,Poor,NEW YORK,"Issued a statement on ""Standing With Our Transgender Community""; has an ""[LGBTQ] Info and Support"" page that provides various resources related to gender incl. ""gender-inclusive"" housing and a sub-section specific to ""[Info] for Transgender Students & Employees. """,buffalo.edu
University of Rochester,Private,No,Poor,NEW YORK,"Has a ""Transgender Care"" page that describes its comprehensive approach to treatment incl. hormones / surgeries.",rochester.edu
Vassar College,Private,No,Poor,NEW YORK,"Has a ""Trans and Non-Binary Health Services"" page that outlines how to receive referrals to various organizations and clinics; incl. Planned Parenthood; who provide gender- related medical interventions.",vassar.edu
Appalachian State University,Public,No,Moderate,NORTH CAROLINA,LGBT career resources; LGBT oral history projects; LGBT library collections; WGS program.,appstate.edu
Davidson College,Private,Yes,Poor,NORTH CAROLINA,"""Gender inclusive"" housing; lots of gender-related resources; health insurance covers transition; supports transgender participation in competitive athletics.",davidson.edu
Duke University,Private,No,Poor,NORTH CAROLINA,"""Gender inclusive"" housing; lots of gender-related resources; incl. a ""travel safety"" map; provides trans medicine in-house.",duke.edu
East Carolina University,Public,No,Poor,NORTH CAROLINA,"""Gender inclusive"" housing; Safe Zone training; gender-related programming and events.",ecu.edu
North Carolina State University,Public,No,Poor,NORTH CAROLINA,"Offers resources on pronouns and gender ID; self-report gender; provides ""Transgender Resource Roadmap""; allows self-ID for sports and bathrooms.",ncsu.edu
University of North Carolina at Chapel Hill,Public,No,Poor,NORTH CAROLINA,"Provides Safe Zone training; offers numerous resources and groups through the ""LGBTQ Center""; honors gender-related holidays.",unc.edu
University of North Carolina at Charlotte,Public,No,Poor,NORTH CAROLINA,"Allows ""gender-affirming"" housing w/ members of the same sex; provides many resources related to gender; offers SAGE training; offers resources on pronouns and gender ID.",uncc.edu
University of North Carolina at Greensboro,Public,No,Poor,NORTH CAROLINA,"Offers ""Gender Diversity Resource Toolkit""; provides many gender-related resources; most of which relate to gender rather than LGB.",uncg.edu
Wake Forest University,Private,Yes,Poor,NORTH CAROLINA,"""Gender inclusive"" housing; provides Trans@WFU resource; extensive ""LGBTQ terminology"" list; issued statement reaffirming support for transgender ID.",wfu.edu
North Dakota State University,Public,No,Poor,NORTH DAKOTA,"Offers a ""Resources On Campus"" page specific to LGBT students including a resource room; Name and Gender Change Procedures; LGBTQA+ Roommate Matching; Campus Gender Neutral/Unisex Restroom Map; and links to external organizations including Tri-State Transgender; Transgender Law Center; and Trans Faith",ndsu.edu
University of North Dakota,Public,No,Poor,NORTH DAKOTA,"Website has a dedicated ""Trans Resources"" page stating, ""The Pride Center is committed to supporting our transgender, nonbinary, and gender-diverse community."" Services include a guide on updating name, pronouns and students are encouraged to share their ""Gender, Pronouns, & Sexual Orientation Information"" on the school's website for demographic purposes. They also offer gender neutral housing, a ""closet"" for ""access to free identify affirming clothing"", they link to a variety of health resources, including a clinic for ""voice therapy for transgender students""",https://und.edu/
Bowling Green State University,Public,No,Poor,OHIO,"""All-gender"" housing; lots of gender- related programming.",bgsu.edu
Case Western Reserve University,Private,No,Poor,OHIO,"""Gender-inclusive"" housing; easy to change gender; active LGBT center; covers trans healthcare for students/faculty",case.edu
Denison University,Private,No,Moderate,OHIO,Not many explicit resources; but reaffirmed in 2017 that they would allow trangender students to use facilities of their choice.,denison.edu
Kent State University,Public,No,Poor,OHIO,Provides an extensive Q&A that outlines; definitively; opinions about sexuality and gender.,kent.edu
Kenyon College,Private,No,Poor,OHIO,"Has an entire page dedicated to trans; ""Trans at Kenyon""; lots of gender- related policies.",kenyon.edu
Miami University,Public,No,Poor,OHIO,"Refers to normal housing as ""sex-seggregated"" but includes many gender-related resources.",miamioh.edu
Oberlin College,Private,Yes,Moderate,OHIO,Allows MTF athletes to compete w/ women after 1yr of testosterone suppression; provides sex-seggregated; as well as gender-irreverent; housing & bathrooms.,oberlin.edu
Ohio State University,Public,No,Poor,OHIO,"""Gender-inclusive"" housing; provides GAC through the UHS; lists many gender-related resources.",osu.edu
Ohio University,Public,No,Poor,OHIO,"Bathrooms are self-ID; ""gender- inclusive"" housing available.",ohio.edu
University of Cincinnati,Public,No,Poor,OHIO,"""Gender-inclusive"" housing; changing all single-user bathrooms to say ""gender neutral""; ""Update Your Gender Marker"" page is dead.",uc.edu
University of Dayton,Private,Yes,Poor,OHIO,Despite its catholic affiliation; U of Dayon appears to be very ideologically captured as far as gender is concerned.,udayton.edu
University of Toledo,Public,No,Poor,OHIO,"""Gender-inclusive"" housing; has an ""LGBTA Strategic Plan; boasts 3. 5/5 ""Gender Identity Score""; many gender-related policies.",utoledo.edu
Wright State University,Public,No,Poor,OHIO,"""Gender-inclusive"" housing; many gender-related policies; incl. pronoun guidance and gender self-ID for bathrooms.",wright.edu
Oklahoma State University,Public,No,Moderate,OKLAHOMA,"Offers Women's; Gender; & Sexuality minor; has a ""Diversity and Rural Advocacy Group; which researches LGBTQ-related policies and attitudes""; has faculty who research issues related to gender & gender ID.",okstate.edu
The University of Oklahoma,Public,No,Moderate,OKLAHOMA,"Passed resolution to examine the possibility of gender-neutral housing; UHS providers allowed to manage existing hormone prescriptions, has gender-related student organizations.",ou.edu
The University of Tulsa,Private,Yes,Poor,OKLAHOMA,Offers SafeZone training; provides library guide on 2SLGBTQIA+ resources; runs a Women's and Gender Studies program; has a gender-related living and learning community.,utulsa.edu
Oregon State University,Public,No,Poor,OREGON,"""Gender inclusive"" housing; provides many resources related to gender; Safe Zone training; provides gudie on gender ID and pronouns; honors gender-related holidays.",oregonstate.edu
Portland State University,Public,No,Poor,OREGON,"""Gender inclusive"" housing; provides resources specific to TQ; offers ""Transgender Healthcare Resource Guide"" in addition to plentiful other resources.",pdx.edu
University of Oregon,Public,No,Poor,OREGON,"""Gender inclusive"" housing; claims to be rated ""most LGBTQ- friendly college in Oregon""; affirms commitment to inclusion of ""all genders and gender identities. """,uoregon.edu
Bucknell University,Private,No,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; issued statement reaffirming the university's ""support of our transgender community"" incl. adopting the Biden administration's interpretation of Title IX as requiring that schools allow transgender students access to sex-segregated facilities; offers comprehensive ""LGBTQ Resource"" page.",bucknell.edu
Carnegie Mellon University,Private,No,Poor,PENNSYLVANIA,"Offers ""Queer Community"" housing option; provides ""DEI Book display"" in library with transgender-specific focus; has ""Resources on Ethnicity & Gender"" guide through library; maintains a list of resources on its ""Counseling & Psychological Services (Ca PS)"" page for ""LGBTQIA+"" students incl. referrals to its UHS for hormones.",cmu.edu
Drexel University,Private,No,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; honors TDOR and TDOV; provides plentiful blog posts on transgender ID; most of which discuss only the benefits; offers ""LGBTQIA+ Students"" page with resources both on-campus and off.",drexel.edu
Duquesne University of the Holy Spirit,Private,Yes,Moderate,PENNSYLVANIA,Has a Center for Women's and Gender Studies; has many faculty with specialties in gender and/or gender identity; little else prominent.,duq.edu
Franklin and Marshall College,Private,No,Poor,PENNSYLVANIA,"Has a Women's Center that is largely focused on gender identity; offers a ""LGBTQ+ Life at F&M"" page with referrals to various campus resources such as the ""Office of LGBTQ+ Student Life"" and a ""Queer+Trans Alliance"" employee affinity group.",fandm.edu
Gettysburg College,Private,Yes,Moderate,PENNSYLVANIA,"""Gender-inclusive"" housing; provides plentiful resource guides on trans and other gender-related topics.",gettysburg.edu
Lafayette College,Private,Yes,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; offers Safe Zone training; has ""Gender and Sexuality Programs"" page with links to many campus resources; provides a comprehensive guide to ""Gender Inclusive Pedagogy"" and refers to itself as ""trans-affirming. """,lafayette.edu
Lehigh University,Public,No,Poor,PENNSYLVANIA,"""All-gender"" housing; offers Safe Zone (LUally) training; provides various gender-related resources through its campus ""Pride Center"".",lehigh.edu
Pennsylvania State University,Public,No,Poor,PENNSYLVANIA,"Gender-inclusive housing; offers SafeZone-like training: has a Center for Sexual and Gender Diversity which provides comprehensive resources related to gender, including a page titled Transgender and Non-Binary at Penn State: provides gender-affirming hormones and has famously allowed transgender participation in cross-sex sports both past and present.",psu.edu
Swarthmore College,Private,Yes,Poor,PENNSYLVANIA,"""Gender-neutral"" housing makes up 90% of resident halls; offers Safe Zone training; has dedicated ""Transgender and Nonbinary"" resources page; plentiful faculty research on gender and gender ID.",swarthmore.edu
Temple University,Private,No,Poor,PENNSYLVANIA,Offers Safe Zone training; provides comprehensive resources related to gender identity; allows self-ID of gender for most purposes.,temple.edu
University of Pennsylvania,Public,No,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; offers Safe Zone training; provides gender- related medical interventions; has several comprehensive resource lists related to gender and gender identity.",upenn.edu
University of Pittsburgh,Public,No,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; offers Safe Zone training; has a dedicated ""Transgender and Non-Binary [Info]"" page; provides gender-related medical interventions; as well as comprehensive gender-related resource lists.",pitt.edu
Villanova University,Private,Yes,Poor,PENNSYLVANIA,"""Gender-inclusive"" housing; offers Safe Zone training; provides both on- and off-campus resources related to gender and gender identity incl. how to designate a chosen name; guides students on how to be an ""ally / accomplice to the queer community"" despite its Catholic orientation.",villanova.edu
Brown University,Private,No,Poor,RHODE ISLAND,"""Gender-inclusive"" housing; allows students to use sex-seggregated facilities according to gender ID; has campus ""LGBTQ"" Center.",brown.edu
The University of Rhode Island,Public,No,Poor,RHODE ISLAND,Offers SafeZone training; has dedicated Gender and Sexuality Center; hosts weekly gender-related small groups and events/programming.,uri.edu
Clemson University,Public,No,Poor,SOUTH CAROLINA,"Harvey and Lucinda Gantt Multicultural Center hosts ""Lesbian; Gay; Bisexual; Transgender; Queer and Questioning Programs (LGBTQ)"" including Ally Training; LGBTQ Liaison Program; Lavender Celebration for Graduates; National Coming Out Week; Presentations and Outreach; Pride and Trans Awareness and Visibility Week - which consists of a week of trans-focused events including Trans Day of Remembrance Vigil; a ""celebration of gender euphoria""; and an ""Inclusive Fashion Show"".",clemson.edu
College of Charleston,Public,No,Poor,SOUTH CAROLINA,"Gender & Sexuality Equity Center appears to be staffed but not a lot of information is included; offers Trans 101 training; a workshop on ""Disentangling Gender; Sex & Sexuality""; director lists pronouns but is also pro-Harry Potter; mentions support for ""health services"" and ""housing questions"" but does not specify gender identity; could be moderate.",cofc.edu
Furman University,Private,No,Poor,SOUTH CAROLINA,"Center for Inclusive Communities includes a page on ""Gender & Sexuality""; offers Furman Pride Alliance (FPA); Women’s; Gender; and Sexuality Resource Center; Safe Zone Program; an extensive Resource Guide for Transgender Students and Allies; and LGBTQ Committee. Trans resource guide includes sections on Applying to Furman University; Changing Gender; Name; and/or Title in University Records; Changing Residential Room/Apartment Assignments; Connect with Other Students & Advisors; Using Public Restrooms and Locker Rooms; Student Athletes and Gender-Based Harassment or Discrimination",furman.edu
University of South Carolina Columbia,Public,No,Poor,SOUTH CAROLINA,"Office of Multicultural Student Affairs offers a Transgender and Non-binary Student Support and Services page which includes information on: Campus Activities, Health Services, Housing, Interpersonal Violence Support, Mental Health and Counseling. Name Change, Non-Discrimination and Protection, Professor Notification, Restrooms, Self-Expression Closet and Trans Advocacy Workshop. A large amount of info on each topic including medical care: Student Insurance Coverage: Your student insurance will cover some services for transgender students:, Hormone Replacement Therapy, Therapy Sessions, Medical Appointments, Medications",sc.edu
Dakota State University,Public,No,Moderate,SOUTH DAKOTA,"Has evidence of an LGBT club from 2017 with mention of ""public service activities; including safe space training; a clothing drive; panel discussions; and special events"" — but no other trans- related policies or resources.",dsu.edu
University of Memphis,Public,No,Poor,TENNESSEE,"LGBTQ+ center offers Safe Zone Training; Stonewall Tigers; Private Gender Neutral Restrooms; Transgender and Non-Binary Students Resources and What Are Pronouns? sections. ""At the University of Memphis; sharing pronouns and asking people’s pronouns is a valued practice showing respect for the people with whom you interact. "" Resources for Transgender and Non-Binary Students include info on Legal Sex Update Form; extensive guide to Preferred Full Name and Usage; ""Transgender Voice Development""; and links to external trans organizations. ",memphis.edu
University of Tennessee,Public,No,Poor,TENNESSEE,"Their ""pride center"" offers information on Questioning and understanding your identities; Updating your name and/or gender of record at UT; Health and wellness resources; Housing; restroom; and accessibility accommodations. On campus resources include ""The Gender Affirmation Clinic"" which offers ""gender affirming healthcare"" at the school. Staffed by three staff members who list pronouns. Offers ""gender-affirming clothing"" through their ""Qloset"".",utk.edu
Vanderbilt University,Private,No,Poor,TENNESSEE,"""Trans@VU"" page includes a plethora of information on Vanderbilt Non-Discrimination Policy; Name Changes & Pronoun Designation; Student Housing; Support & Community; Designate pronouns for class rosters; Trans Health on Campus; Recreation & Wellness; Getting Involved and All Gender Bathrooms. According to the trans health on campus page; ""If a student wishes to receive inclusive medical care for any transgender needs or with a trans-friendly physician; they can make an appointment with: Student Health Center; The University Counseling Center; For general health concerns or assistance navigating the Vanderbilt University Medical Center; please contact the Program for LGBTQ Health at the Vanderbilt Medical Center. The Program coordinates a Trans Buddy program and makes referrals for LGBTQ2S+-competent providers and VUMC VIVID Health. "" Also discusses ""Vanderbilt Employee Trans Health Coverage"" and includes ""Resources for Trans Patients at the Vanderbilt Medical Center""",vanderbilt.edu
Rice University,Private,No,Poor,TEXAS,"Has an ""On-Campus Resources"" page with plentiful resources; claims it wil ""help queer students receive on-campus housing over breaks if [their] home environment is not safe. """,rice.edu
Southern Methodist University,Private,Yes,Poor,TEXAS,"Teaches classes on ""Affirmative Therapy with Transgender and GNC Clients"" incl. ""Queer Bible Hermeneutics""",smu.edu
Texas A&M University,Public,No,Poor,TEXAS,"Has a student org; Transcend; specific to the ""trangender; nonbinary; gender- nonconforming; and gender-questioning community"" at Texas A&M; lists several ""affiliated groups; "" mostly general; one opinion article claims that they are ""Pushing Trans at Texas A&M. """,tamu.edu
Texas State University,Public,No,Poor,TEXAS,"Allows disclosure of gender identity; which it defines as ""one's innermost concept of self as man; woman; blend of both; or neither""; has a ""Center for Diversity and Gender Studies"" that administers its ""Women's; Gender; and Sexuality Studies"" program; offers scholarships; trainings; and plentiful resources through its ""LGBTQIA+ Alliance"" page.",txstate.edu
Texas Tech University,Public,No,Poor,TEXAS,"Some staff; faculty; and students put forth a resolution to ""eliminate gendered langauge"" incl. words like ""chairman"" and ""freshman""; provides library guide for ""LGBTQIA Research & Education"" with plentiful gender-related resources.",ttu.edu
University of Houston,Public,No,Moderate,TEXAS,"Closed its ""LGBTQ Resource Center"" at the start of the 2023-2024 school year; likely due to SB17; still provides ""Off Campus LGBTQ Resources"" through the UHS website.",uh.edu
University of North Texas,Public,No,Poor,TEXAS,"Has a strong transactivist presence among students; provides several library guides related to gender ID; incl. one specific to trans; also runs a comprehensive ""[LGBTQ] Archive. """,unt.edu
University of Texas at Arlington,Public,No,Poor,TEXAS,"Celebrates trans-related events and holidays; Dean of Social Work claims that ""gender-affirming care saves lives. """,uta.edu
University of Texas at Austin,Public,No,Poor,TEXAS,"Provides plentiful resources through the ""LGBTQ Studies"" department; has ""gender-inclusive"" bathrooms; both single- and multi-stall; UHS provides gender-related hormones to students; counseling center is very affirming; has a counselor who IDs as trans / specilizes in counseling LGBT students; closed its ""Gender and Sexuality"" center in 2024 after unsuccessfully converting it to a ""Women's Community Center. """,utexas.edu
University of Texas at Dallas,Public,No,Poor,TEXAS,Counseling center guides students on how to access gender-affirming care; allows students to self-ID gender on university documents.,utdallas.edu
University of Texas at El Paso,Public,No,Moderate,TEXAS,"Runs a transgender vocal clinic; provided a ""Queer(in)g our Classrooms"" event directed at K-12 Educators; little systematic guidance; appears mostly confined to specific depts and labs.",utep.edu
University of Texas at San Antonio,Public,No,Poor,TEXAS,Library system provides plentiful resources and has partnered with a digital transgender archive.,utsa.edu
Brigham Young University,Private,Yes,Excellent,UTAH,No prominent search results related to gender identity.,https://www.byu.edu/
University of Utah,Public,No,Poor,UTAH,"Has a ""Transgender Health Program"" with plentiful resources; services; etc.",utah.edu
Utah State University,Public,No,Moderate,UTAH,"Has a page for ""Transgender Mental Health"" that includes plentiful resources and a section titled ""How does one know if they are transgender?"" Important to note; the Utah State Women's Volleyball team recently forfeited a game against San Jose State University for their inclusion of a trans-identified (male) player.",usu.edu
Middlebury College,Private,No,Poor,VERMONT,"Provides ""LGBTQ"" resources; offers a Gender; Sexuality; and Feminist Studies program; states that student health insurance ""may help cover transitions""; has gender-related student organizations.",middlebury.edu
University of Vermont,Public,No,Poor,VERMONT,"""Gender-inclusive"" housing; offers ""gender-affirming"" health and counseling services.",uvm.edu
College of William and Mary,Public,No,Poor,VIRGINIA,"Center for Student Diversity lists LGBTQ+ Resources, including All Gender Restrooms & Shower Facilities, stating, If a Trans or gender non-binary individual chooses to use a gender-designated restroom, they may use the facility that corresponds with their gender identity, a Transgender Locker of clothing that accommodates all gender expressions, Adaptive Housing, celebrates Transgender Day of Remembrance, and lists a large number of LGBTQ+ and Transgender Health Resources",wm.edu
